id,category_id,amount,year,month,budget_type,user_owner
8ce70ced-d485-4f83-b8c7-f2a3ab806366,30,480.00,2025,,YEARLY,admin
96c2a32f-0deb-49a3-8a1f-9872440a22fd,21,480.00,2025,,YEARLY,admin
9bc23fb0-1627-4fcb-a02f-ccf40ad6a727,16,1200.00,2025,,YEARLY,admin
a948d5b7-ba79-4e07-9a0f-34751a2e3d87,7,72.00,2025,,YEARLY,admin
ab90b2c0-841b-4174-935e-317bf0f0b264,22,480.00,2025,,YEARLY,admin
b77bcb90-f1e5-4c61-95fc-0e63a33bd389,32,2400.00,2025,,YEARLY,admin
b8246a2e-a897-4022-8ec8-ffdbba3f1ecf,39,2200.00,2025,,YEARLY,admin
bb28138d-1b2d-4cc9-bab3-e2002b4b96bf,19,1200.00,2025,,YEARLY,admin
bbffd53e-0151-4949-9fbd-5c570c3c6c30,34,72.00,2025,,YEARLY,admin
c48de8bb-9c43-4a9d-8123-2e06db6b99a8,47,4200.00,2026,,YEARLY,admin
cfcd3637-3081-496f-8149-c0147099d189,13,12.00,2025,,YEARLY,admin
d3457e09-89e6-479f-a6da-f47560e20462,9,60.00,2025,,YEARLY,admin
d545c145-86cf-4ed3-9a5d-8a26f097cce7,45,720.00,2026,,YEARLY,admin
dba434e3-77da-405f-b428-2666c866f7d3,47,4200.00,2025,,YEARLY,admin
dfc834ff-706c-49b3-baa1-50ad8e13dedc,3,2160.00,2025,,YEARLY,admin
ea4ea2dd-885e-46af-b5d1-f2c6649c49af,46,1200.00,2025,,YEARLY,admin
ec6fbb54-2e20-4572-b7e3-d2eaa6bdb782,28,120.00,2025,,YEARLY,admin
f42dce29-1582-4f2d-a13e-faf381d29d20,15,60.00,2025,,YEARLY,admin
